tag,case,delay_ms,variant,repeat,seconds,engine_seconds,requests,schema_requests,schema_bytes,schema_request_seconds_sum,response_bytes,request_bytes,max_inflight,outer_prepare_s,table_walk_sum_s,table_walk_max_s,final_revalidation_s,physical_publish_s,manifest_publish_s,ordered_cursors,hydration_calls,hydration_rows,hydration_bytes,upserts,full_state_verified
mf-history256-17-103-design-both,history256,17,both,103,4.506315124977846,4.504608709,3268,12,12354,0.23059308307711035,7807630,190034,155,1.356045,1.576193,1.576193,0.414298,0.154354,0.768484,0,3,6,3900,1,True
mf-history256-17-103-design-control,history256,17,control,103,4.6166733329882845,4.614486792,3276,17,18223,0.32761079008923844,7820327,190048,154,1.367538,1.546298,1.546298,0.561615,0.154022,0.748188,0,3,6,3900,1,True
mf-rows100000-17-103-design-both,rows100000,17,both,103,3.6363974999985658,3.631120625,280,12,12354,0.23641250288346782,4251050,147852,57,0.844895,1.652674,1.652674,0.426383,0.169493,0.307144,0,3,6,3900,1,True
mf-rows100000-17-103-design-control,rows100000,17,control,103,3.8167172499815933,3.809211167,288,17,18223,0.332609752076678,4259113,147866,57,0.820949,1.654837,1.654837,0.574106,0.169439,0.338702,0,3,6,3900,1,True
mf-tables1-17-103-design-both,tables1,17,both,103,3.1597234579967335,3.157258209,287,12,270018,0.23179762193467468,1895001,146334,63,0.839114,1.121338,1.121338,0.426482,0.132039,0.40905,0,3,6,3900,1,True
mf-tables1-17-103-design-control,tables1,17,control,103,3.3757650000043213,3.3731945420000002,295,17,404719,0.32982720935251564,2031641,146346,63,0.855633,1.130062,1.130062,0.589648,0.136538,0.412812,0,3,6,3900,1,True
mf-tables29-17-101-design-both,tables29,17,both,101,19.128344082972035,19.126079125,2415,12,270018,0.23767324996879324,21677564,2162902,63,0.867645,33.059305,1.158146,2.218299,4.486025,0.406418,0,87,174,113100,29,True
mf-tables29-17-101-design-control,tables29,17,control,101,47.4626567090163,47.461178708,2647,157,4176347,3.0793732540332712,25615735,2163207,63,0.838216,32.588371,1.149594,7.271002,4.369254,0.40052,0,87,174,113100,29,True
mf-tables29-17-101-design-parallel,tables29,17,parallel,101,23.680872333003208,23.679077959,2647,157,4176347,3.0251263777608983,25617328,2163292,63,0.858166,32.468671,1.129859,7.112904,4.324539,0.416836,0,87,174,113100,29,True
mf-tables29-17-101-design-schema,tables29,17,schema,101,42.647955875028856,42.646181375,2415,12,270018,0.22853383392794058,21680926,2163065,63,0.842358,32.687396,1.161162,2.158496,4.488483,0.426623,0,87,174,113100,29,True
mf-tables29-17-102-design-both,tables29,17,both,102,18.855217792035546,18.853374375,2415,12,270018,0.2296304169576615,21677564,2162877,63,0.870233,32.934806,1.14842,2.087216,4.41427,0.405024,0,87,174,113100,29,True
mf-tables29-17-102-design-control,tables29,17,control,102,47.89769941603299,47.895789375,2647,157,4176347,3.0267165048862807,25615654,2163199,63,0.853402,33.15239,1.179076,7.121083,4.366138,0.417353,0,87,174,113100,29,True
mf-tables29-17-102-design-parallel,tables29,17,parallel,102,23.793846999993548,23.792016875,2647,157,4176347,3.0236317519447766,25617102,2163300,63,0.843452,32.357292,1.136239,7.095678,4.474242,0.42677,0,87,174,113100,29,True
mf-tables29-17-102-design-schema,tables29,17,schema,102,41.76795929099899,41.766304417,2415,12,270018,0.22900904301786795,21680528,2163057,63,0.866501,32.357745,1.15761,2.027784,4.179852,0.393567,0,87,174,113100,29,True
mf-tables8-17-101-design-both,tables8,17,both,101,5.966756042034831,5.96545825,819,12,270018,0.22881470707943663,6840451,650518,63,0.834072,8.644619,1.090888,0.800393,1.166924,0.372305,0,24,48,31200,8,True
mf-tables8-17-101-design-control,tables8,17,control,101,14.220696875010617,14.219083167,883,52,1347626,1.0145289969514124,7927445,650582,63,0.870193,8.790255,1.134843,2.222311,1.237423,0.417701,0,24,48,31200,8,True
mf-tables8-17-101-design-parallel,tables8,17,parallel,101,7.582138541969471,7.580716,883,52,1347626,0.9995039480854757,7928287,650677,63,0.854949,9.118554,1.151903,2.197135,1.179581,0.404502,0,24,48,31200,8,True
mf-tables8-17-101-design-schema,tables8,17,schema,101,12.698209042020608,12.696734125,819,12,270018,0.23083620914258063,6841865,650551,63,0.857307,8.713635,1.12311,0.826865,1.229286,0.398702,0,24,48,31200,8,True
mf-tables8-17-102-design-both,tables8,17,both,102,6.2807058750186116,6.279442791,819,12,270018,0.23339808295713738,6840585,650511,63,0.872177,9.073251,1.147495,0.864218,1.211548,0.377913,0,24,48,31200,8,True
mf-tables8-17-102-design-control,tables8,17,control,102,14.618688249960542,14.617266459,883,52,1347626,1.0216614610981196,7927554,650590,63,0.867831,9.139606,1.155379,2.275409,1.232113,0.414123,0,24,48,31200,8,True
mf-tables8-17-102-design-parallel,tables8,17,parallel,102,7.58176758303307,7.580181166,883,52,1347626,1.0009401300922036,7928289,650673,63,0.841718,8.929906,1.121531,2.191743,1.219884,0.425394,0,24,48,31200,8,True
mf-tables8-17-102-design-schema,tables8,17,schema,102,12.79950933298096,12.79764825,819,12,270018,0.23102095705689862,6841727,650555,63,0.8335,8.836276,1.121132,0.853507,1.19554,0.409595,0,24,48,31200,8,True
mf-tables8-50-103-design-both,tables8,50,both,103,16.227784499991685,16.226013375,819,12,270018,0.6321440410683863,6840502,650512,63,2.213284,23.597487,2.95498,2.237872,3.072531,1.049183,0,24,48,31200,8,True
mf-tables8-50-103-design-control,tables8,50,control,103,37.35411174996989,37.351673083,883,52,1347626,2.7384456670843065,7927598,650587,63,2.215914,23.519453,2.960248,5.756919,3.07266,1.043436,0,24,48,31200,8,True
