schema_version	occurrence_id	surface	source_path	boundary	site_kind	current_term	target_term	classification	compatibility_treatment	rollout_phase	test_owner	rationale
2	openapi:%2Fcomponents%2Fschemas%2FErrorOutput%2Fproperties%2Fresource_limit%2FoneOf%2F1%2Fdescription:prose:6e7de8584d01562fb1204adf876ba481a1ed0c854f6c0171c87a9f7b9a45e3e2:sidecar:1	openapi	openapi.json	/components/schemas/ErrorOutput/properties/resource_limit/oneOf/1/description	prose	sidecar	retain	physical_storage	reviewed_semantic_reclassification	presentation	omnigraph-vocabulary-guard::openapi_inventory_matches	Recovery sidecar is accurate physical-storage terminology in an effect-free guarantee.
2	openapi:%2Fcomponents%2Fschemas%2FLegacyReadOutput%2Fproperties%2Fcolumns:property_name:0e624a1a135e4441e96ebbd5f95bc3df19c3c138df98c61ce684ef311d6e8b1a:columns:1	openapi	openapi.json	/components/schemas/LegacyReadOutput/properties/columns	property_name	columns	retain	result_projection	retain exact query-result name	none	omnigraph-vocabulary-guard::openapi_inventory_matches	Query-result rows and columns are canonical tabular projection vocabulary and are intentionally unchanged.
2	openapi:%2Fcomponents%2Fschemas%2FLegacyReadOutput%2Fproperties%2Frow_count:property_name:d5a76110022e4737009e0cfd33d38eb9a57de63480648a62b474c248b071abc8:row:1	openapi	openapi.json	/components/schemas/LegacyReadOutput/properties/row_count	property_name	row	retain	result_projection	retain exact query-result name	none	omnigraph-vocabulary-guard::openapi_inventory_matches	Query-result rows and columns are canonical tabular projection vocabulary and are intentionally unchanged.
2	openapi:%2Fcomponents%2Fschemas%2FLegacyReadOutput%2Fproperties%2Frows:property_name:bc51e9e65d79e1c90ba544ab2eae1044ccdf8c1af7a559ba375cba4276f7d99e:rows:1	openapi	openapi.json	/components/schemas/LegacyReadOutput/properties/rows	property_name	rows	retain	result_projection	retain exact query-result name	none	omnigraph-vocabulary-guard::openapi_inventory_matches	Query-result rows and columns are canonical tabular projection vocabulary and are intentionally unchanged.
2	openapi:%2Fcomponents%2Fschemas%2FLegacyReadOutput%2Frequired%2F2:required_name:d5a76110022e4737009e0cfd33d38eb9a57de63480648a62b474c248b071abc8:row:1	openapi	openapi.json	/components/schemas/LegacyReadOutput/required/2	required_name	row	retain	result_projection	retain exact query-result name	none	omnigraph-vocabulary-guard::openapi_inventory_matches	Query-result rows and columns are canonical tabular projection vocabulary and are intentionally unchanged.
2	openapi:%2Fcomponents%2Fschemas%2FLegacyReadOutput%2Frequired%2F3:required_name:bc51e9e65d79e1c90ba544ab2eae1044ccdf8c1af7a559ba375cba4276f7d99e:rows:1	openapi	openapi.json	/components/schemas/LegacyReadOutput/required/3	required_name	rows	retain	result_projection	retain exact query-result name	none	omnigraph-vocabulary-guard::openapi_inventory_matches	Query-result rows and columns are canonical tabular projection vocabulary and are intentionally unchanged.
2	openapi:%2Fcomponents%2Fschemas%2FReadOutput%2Fproperties%2Fcolumns:property_name:0e624a1a135e4441e96ebbd5f95bc3df19c3c138df98c61ce684ef311d6e8b1a:columns:1	openapi	openapi.json	/components/schemas/ReadOutput/properties/columns	property_name	columns	retain	result_projection	retain exact query-result name	none	omnigraph-vocabulary-guard::openapi_inventory_matches	Query-result rows and columns are canonical tabular projection vocabulary and are intentionally unchanged.
2	openapi:%2Fcomponents%2Fschemas%2FReadOutput%2Fproperties%2Fgraph_commit_id%2Fdescription:prose:f5cf98c6fc65d1dd78b092c11bc7c9f7d6494f6392c97847d565a6edb2605e96:rows:1	openapi	openapi.json	/components/schemas/ReadOutput/properties/graph_commit_id/description	prose	rows	retain	result_projection	retain query-result vocabulary	none	omnigraph-vocabulary-guard::openapi_inventory_matches	Rows names the tabular query-result projection pinned to the same snapshot as graph_commit_id.
2	openapi:%2Fcomponents%2Fschemas%2FReadOutput%2Fproperties%2Frow_count:property_name:d5a76110022e4737009e0cfd33d38eb9a57de63480648a62b474c248b071abc8:row:1	openapi	openapi.json	/components/schemas/ReadOutput/properties/row_count	property_name	row	retain	result_projection	retain exact query-result name	none	omnigraph-vocabulary-guard::openapi_inventory_matches	Query-result rows and columns are canonical tabular projection vocabulary and are intentionally unchanged.
2	openapi:%2Fcomponents%2Fschemas%2FReadOutput%2Fproperties%2Frows:property_name:bc51e9e65d79e1c90ba544ab2eae1044ccdf8c1af7a559ba375cba4276f7d99e:rows:1	openapi	openapi.json	/components/schemas/ReadOutput/properties/rows	property_name	rows	retain	result_projection	retain exact query-result name	none	omnigraph-vocabulary-guard::openapi_inventory_matches	Query-result rows and columns are canonical tabular projection vocabulary and are intentionally unchanged.
2	openapi:%2Fcomponents%2Fschemas%2FReadOutput%2Frequired%2F2:required_name:d5a76110022e4737009e0cfd33d38eb9a57de63480648a62b474c248b071abc8:row:1	openapi	openapi.json	/components/schemas/ReadOutput/required/2	required_name	row	retain	result_projection	retain exact query-result name	none	omnigraph-vocabulary-guard::openapi_inventory_matches	Query-result rows and columns are canonical tabular projection vocabulary and are intentionally unchanged.
2	openapi:%2Fcomponents%2Fschemas%2FReadOutput%2Frequired%2F3:required_name:bc51e9e65d79e1c90ba544ab2eae1044ccdf8c1af7a559ba375cba4276f7d99e:rows:1	openapi	openapi.json	/components/schemas/ReadOutput/required/3	required_name	rows	retain	result_projection	retain exact query-result name	none	omnigraph-vocabulary-guard::openapi_inventory_matches	Query-result rows and columns are canonical tabular projection vocabulary and are intentionally unchanged.
2	openapi:%2Fpaths%2F~1graphs~1%7Bgraph_id%7D~1commits%2Fget%2Fdescription:prose:9e573b911906035e5b66f45f17a952ce0870a38f7a23f690b83f8b62ab972ae0:manifest%20version:1	openapi	openapi.json	/paths/~1graphs~1{graph_id}~1commits/get/description	prose	manifest version	retain	physical_storage	reviewed_semantic_reclassification	presentation	omnigraph-vocabulary-guard::openapi_inventory_matches	The revised prose explicitly qualifies this as the graph-manifest version.
2	openapi:%2Fpaths%2F~1graphs~1%7Bgraph_id%7D~1commits~1%7Bcommit_id%7D%2Fget%2Fdescription:prose:455b78caaa908e2ec6c4c22a461858ec8b2e6d16a224b9a9332cbe7da1ab5ec1:manifest%20version:1	openapi	openapi.json	/paths/~1graphs~1{graph_id}~1commits~1{commit_id}/get/description	prose	manifest version	retain	physical_storage	reviewed_semantic_reclassification	presentation	omnigraph-vocabulary-guard::openapi_inventory_matches	The revised prose explicitly qualifies this as the graph-manifest version.
2	openapi:%2Fpaths%2F~1graphs~1%7Bgraph_id%7D~1snapshot%2Fget%2Fdescription:prose:da3fc24dc381d981d21eaf8ae2fe809750334d40ed5cfd822e66c65698412629:manifest%20version:1	openapi	openapi.json	/paths/~1graphs~1{graph_id}~1snapshot/get/description	prose	manifest version	retain	physical_storage	reviewed_semantic_reclassification	presentation	omnigraph-vocabulary-guard::openapi_inventory_matches	The revised prose explicitly qualifies this as the graph-manifest version.
2	public_rust:omnigraph-api-types:0542e981eddf3dd394d56fdbaaef8ccc5697323547b527a4617b16a202a314c5:row:1:1	public_rust	crates/omnigraph-api-types/Cargo.toml	pub omnigraph_api_types::LegacyReadOutput::row_count: usize	public_signature	row	retain	result_projection	retain tabular query-result API	none	omnigraph-vocabulary-guard::public_rust_inventory_matches	Rows and columns are accurate for this tabular query/result projection.
2	public_rust:omnigraph-api-types:182b9743f8ba4bfa78effeb3eca5e20db91d7dd595529977a06dfd464dca08ad:rows:1:1	public_rust	crates/omnigraph-api-types/Cargo.toml	pub omnigraph_api_types::ReadOutput::rows: serde_json::value::Value	public_signature	rows	retain	result_projection	retain tabular query-result API	none	omnigraph-vocabulary-guard::public_rust_inventory_matches	Rows and columns are accurate for this tabular query/result projection.
2	public_rust:omnigraph-api-types:27eb1709ae92e5d8ec19a9f3e755dfaad0283c854ef407f3b61a4e66155a004f:rows:1:1	public_rust	crates/omnigraph-api-types/Cargo.toml	pub omnigraph_api_types::LegacyReadOutput::rows: serde_json::value::Value	public_signature	rows	retain	result_projection	retain tabular query-result API	none	omnigraph-vocabulary-guard::public_rust_inventory_matches	Rows and columns are accurate for this tabular query/result projection.
2	public_rust:omnigraph-api-types:2ba22fbca1034b3851a00def96be95dba6a02cfcd1b03a665e809d5059fa4534:row:1:1	public_rust	crates/omnigraph-api-types/Cargo.toml	pub omnigraph_api_types::ReadOutput::row_count: usize	public_signature	row	retain	result_projection	retain tabular query-result API	none	omnigraph-vocabulary-guard::public_rust_inventory_matches	Rows and columns are accurate for this tabular query/result projection.
2	public_rust:omnigraph-api-types:9c70908c9dc2ff567a4328d10c1139e1520a71923c2d4d3c93988d4d3c9250fd:columns:1:1	public_rust	crates/omnigraph-api-types/Cargo.toml	pub omnigraph_api_types::ReadOutput::columns: alloc::vec::Vec<alloc::string::String>	public_signature	columns	retain	result_projection	retain tabular query-result API	none	omnigraph-vocabulary-guard::public_rust_inventory_matches	Rows and columns are accurate for this tabular query/result projection.
2	public_rust:omnigraph-api-types:f11e9e006d7457f45384e98f7abd91e1cce1c875e0e1c9167915d01ed2e2e473:columns:1:1	public_rust	crates/omnigraph-api-types/Cargo.toml	pub omnigraph_api_types::LegacyReadOutput::columns: alloc::vec::Vec<alloc::string::String>	public_signature	columns	retain	result_projection	retain tabular query-result API	none	omnigraph-vocabulary-guard::public_rust_inventory_matches	Rows and columns are accurate for this tabular query/result projection.
2	public_rust:omnigraph-compiler:0d00c158b4364038662c5499b64a5d2f80a54d341c3b88257b696650e626ae6e:Table:1:1	public_rust	crates/omnigraph-compiler/Cargo.toml	impl core::fmt::Display for omnigraph_compiler::catalog::schema_ir::TableIncarnationId	public_signature	Table	retain	physical_storage	retain persisted physical identity name	none	omnigraph-vocabulary-guard::public_rust_inventory_matches	This is an exact persisted schema/storage identity name, not graph-facing table vocabulary.
2	public_rust:omnigraph-compiler:0d00c158b4364038662c5499b64a5d2f80a54d341c3b88257b696650e626ae6e:Table:2:1	public_rust	crates/omnigraph-compiler/Cargo.toml	impl core::fmt::Display for omnigraph_compiler::catalog::schema_ir::TableIncarnationId	public_signature	Table	retain	physical_storage	retain persisted physical identity name	none	omnigraph-vocabulary-guard::public_rust_inventory_matches	This is an exact persisted schema/storage identity name, not graph-facing table vocabulary.
2	public_rust:omnigraph-compiler:10ce74e76c69f659e55673b77aab239f20ce6a948b5b173c10e4a7186cbd13f0:Table:1:1	public_rust	crates/omnigraph-compiler/Cargo.toml	pub fn omnigraph_compiler::catalog::Catalog::edge_table_incarnation_id(&self, name: &str) -> core::option::Option<omnigraph_compiler::catalog::schema_ir::TableIncarnationId>	public_signature	Table	retain	physical_storage	retain persisted physical identity name	none	omnigraph-vocabulary-guard::public_rust_inventory_matches	This is an exact persisted schema/storage identity name, not graph-facing table vocabulary.
